v_cam;altitude;tma_num;V_S;V_E;V_T;maps;year;location;azimuth;photo_dist;fl_length;month;day
"32";"25000";"1973";"1";"150";"150";N/A;"1966";ross_shelf;25.6;2.444;364.18;"11";"13"
"32";"25000";"1973";"1";"150";"150";N/A;"1966";transantarctic_mountains;25.6;2.444;364.18;"11";"13"
"32";"34000";"2044";"277";"291";"15";N/A;"1967";ross_island;113;3.077;43.08;"11";"20"
"32";"34000";"2044";"277";"291";"15";N/A;"1967";dry_valleys;113;3.077;43.08;"11";"20"
"32";"15000";"1680";"1";"62";"62";N/A;"1966";peninsula;80.7;2.124;129.58;;
"32";"15000";"1681";"63";"73";"11";N/A;"1966";peninsula;87;3.455;34.549;;
"32";"15000";"1682";"74";"91";"18";N/A;"1966";peninsula;149;2.728;46.375;;
"32";"15000";"1683";"92";"137";"46";N/A;"1966";peninsula;231;3.051;137.27;;
"32";"15000";"1684";"138";"247";"110";N/A;"1966";peninsula;161;1.144;124.72;;
"32";;"2159";"111";"186";"76";N/A;"1968";peninsula;153;2.565;192.39;"12";"27"
"32";;"2162";"83";"138";"56";N/A;"1969";peninsula;359;1.171;64.406;"1968";
"32";;"2143";"232";"369";"138";N/A;"1968";peninsula;113;1.622;222.26;"12";"24"
"32";;"2158";"69";"110";"42";N/A;"1968";peninsula;290;1.938;79.453;"12";"27"
"32";;"2152";"304";"382";"79";N/A;"1968";peninsula;292;2.189;170.75;"12";"27"
"32";;"2147";"1";"62";"62";N/A;"1968";peninsula;115;1.744;106.37;"12";"21"
"32";;"2153";"383";"475";"93";N/A;"1968";peninsula;145;1.584;145.7;"12";"27"
"32";;"2157";"1";"68";"68";N/A;"1968";peninsula;331;1.692;113.35;"12";"27"
"32";;"2151";"272";"303";"32";N/A;"1968";peninsula;114;1.82;56.428;"12";"27"
"32";;"2150";"209";"271";"63";N/A;"1968";peninsula;294;2.295;142.31;"12";"27"
"32";;"2148";"63";"125";"63";N/A;"1968";peninsula;293;2.256;139.85;"12";"21"
